Champions 	HP 	HP+ 	HP5 	HP5+ 	MP 	MP+ 	MP5 	MP5+ 	AD 	AD+ 	AS 	AS+ 	AR 	AR+ 	MR 	MR+ 	MS 	Range
Malphite Malphite	574.2	+90	7	+0.55	282.2	+40	7.32	+0.55	61.97	+3.375	0.638	+3.4%	28.3	+3.75	32.1	+1.25	335	125
Malzahar Malzahar	514.4	+80	5.42	+0.55	325.6	+45	6	+0.8	54.7	+3	0.625	+1.36%	21.88	+3.5	30	+0	335	500
Maokai Maokai	572.2	+90	7	+0.75	377.28	+43	7.205	+0.45	63.544	+3.3	0.694	+2.125%	28.72	+4	32	+1.25	335	125
Master Yi Master Yi	598.56	+92	7.59	+0.65	250.56	+42	7.255	+0.45	60.04	+3	0.679	+2%	24.04	+3	32.1	+1.25	355	125
Miss Fortune Miss Fortune	530	+85	6.19	+0.65	325.84	+35	8.04	+0.65	46	+1	0.656	+3%	24.04	+3	30	+0	325	550
Mordekaiser Mordekaiser	525	+73	4	+0.3	120	+0	0	+0	61	+5	0.601	+2.2%	20	+3.75	32.1	+1.25	325	175
Morgana Morgana	547.48	+86	5.705	+0.6	340.8	+60	8.5	+0.8	55.46	+3.5	0.625	+1.53%	25.384	+3.8	30	+0	335	450
Nami Nami	489.32	+74	5.42	+0.55	377.24	+43	11.5	+0.4	51.208	+3.1	0.644	+2.61%	19.72	+4	30	+0	335	550
Nasus Nasus	561.2	+90	9.01	+0.9	325.6	+42	7.44	+0.5	59.18	+3.5	0.638	+3.48%	24.88	+3.5	32.1	+1.25	350	125
Nautilus Nautilus	576.48	+86	8.37	+0.55	334	+47	8.625	+0.7	57.544	+3.3	0.613	+1%	26.46	+3.75	32.1	+1.25	325	175
Nidalee Nidalee	540	+80	6.005	+0.6	295.6	+45	6	+0.8	53	+3.5	0.638	+3.22%	22.88	+3.5	30	+0	335	525
Nocturne Nocturne	582.8	+85	8.26	+0.75	273.8	+35	6.755	+0.45	59.208	+3.1	0.668	+2.7%	26.88	+3.5	32.1	+1.25	345	125
Nunu Nunu	598.28	+90	8.39	+0.8	283.56	+42	7.44	+0.5	59	+4	0.625	+2.25%	26.38	+3.5	32.1	+1.25	350	125
Olaf Olaf	597.24	+93	8.51	+0.9	315.6	+42	7.465	+0.575	59.98	+3.5	0.694	+2.7%	26.04	+3	32.1	+1.25	350	125
Orianna Orianna	517.72	+79	6.87	+0.55	334	+50	6	+0.8	40.368	+2.6	0.658	+3.5%	17.04	+3	30	+0	325	525
Pantheon Pantheon	579.16	+87	7.84	+0.65	317.12	+31	7.355	+0.45	55.572	+2.9	0.644	+2.95%	27.652	+3.9	32.1	+1.25	355	150
Poppy Poppy	540	+90	8	+0.8	280	+40	7	+0.7	56	+4	0.625	+2.5%	29	+3.5	32.1	+1.25	345	125
Quinn Quinn	532.8	+85	5.42	+0.55	268.8	+35	6.97	+0.4	54.46	+2.41	0.668	+3.1%	23.38	+3.5	30	+0	335	525
Rammus Rammus	564.48	+86	7.92	+0.55	310.44	+33	7.84	+0.5	55.88	+3.5	0.625	+2.215%	31.384	+4.3	32.1	+1.25	335	125
Rek&#039;Sai Rek'Sai	570	+90	7.35	+0.65	100	+0	0	+0	55.628	+3.35	0.667	+2%	24	+3.4	32.1	+1.25	335	175
Renekton Renekton	572.16	+87	7.96	+0.75	100	+0	0	+0	58.328	+3.1	0.665	+2.65%	25.584	+3.8	32.1	+1.25	345	125
Rengar Rengar	586.2	+90	7	+0.5	4	+0	0	+0	60.04	+1.5	0.625	+3.5%	22	+3	32.1	+1.25	345	125
Riven Riven	558.48	+86	5.34	+0.5	0	+0	0	+0	56.04	+3	0.625	+3.5%	24.376	+3.2	32.1	+1.25	340	125
Rumble Rumble	584.4	+80	8.005	+0.6	100	+0	0	+0	61.036	+3.2	0.644	+1.85%	25.88	+3.5	32.1	+1.25	345	125
Ryze Ryze	558.48	+86	5.27	+0.55	400	+50	6	+1	55.04	+3	0.625	+2.112%	21.552	+3	30	+0	340	550
Sejuani Sejuani	600	+95	8.675	+0.85	400	+40	7.205	+0.45	57.544	+3.3	0.670	+1.44%	29.54	+3	32.1	+1.25	340	125
Shaco Shaco	582.12	+84	8.37	+0.55	297.2	+40	7.155	+0.45	57.58	+3.5	0.694	+3%	24.88	+3.5	32.1	+1.25	350	125
Shen Shen	540	+85	8.5	+0.75	400	+0	50	+0	60	+3	0.651	+2%	25	+3	32.1	+1.25	340	125
Shyvana Shyvana	594.6	+95	8.6	+0.8	100	+0	0	+0	60.712	+3.4	0.658	+2.5%	27.628	+3.35	32.1	+1.25	350	125
Singed Singed	542.76	+82	8.02	+0.55	290.6	+45	7.52	+0.55	62.32	+3.375	0.613	+1.81%	27.88	+3.5	32.1	+1.25	345	125
Sion Sion	542.64	+73	10.18	+0.8	325.6	+42	8.005	+0.6	59.72	+4	0.679	+1.3%	23.04	+3	32.1	+1.25	345	175
Sivir Sivir	515.76	+82	5.17	+0.55	284	+50	8.01	+0.9	57.46	+2.41	0.625	+1.6%	22.21	+3.25	30	+0	335	500
Skarner Skarner	601.28	+90	8.925	+0.85	272.2	+40	7.205	+0.45	57	+4.5	0.625	+2.1%	29.384	+3.8	32.1	+1.25	335	125
Sona Sona	482.36	+77	5.42	+0.55	340.6	+45	11.5	+0.4	50.04	+3	0.644	+2.3%	20.544	+3.3	30	+0	325	550
Soraka Soraka	529.04	+78	2.5	+0.5	350.8	+60	11.5	+0.4	50.04	+3	0.625	+2.14%	23.384	+3.8	30	+0	325	550
Swain Swain	516.04	+90	7.84	+0.65	374	+47	6	+0.8	52.04	+3	0.625	+2.11%	22.72	+4	30	+0	335	500
Syndra Syndra	511.04	+78	6.505	+0.6	384	+60	6	+0.8	53.872	+2.9	0.625	+2%	24.712	+3.4	30	+0	330	550
Tahm Kench Tahm Kench	610	+95	6.5	+0.55	325	+40	8	+1	56	+3.2	0.613	+2.5%	27	+3.5	32.1	+1.25	335	175
Taliyah Taliyah	520	+75	7	+0.7	340	+60	7	+0.85	56	+3.3	0.625	+1.12%	20	+3	30	+0	325	525
Talon Talon	582.8	+90	8.51	+0.75	377.2	+37	7.59	+0.75	60	+3.1	0.625	+2.9%	26.88	+3.5	32.1	+1.25	335	125
Taric Taric	575	+90	6	+0.5	300	+60	5	+1	55	+3.5	0.625	+2.02%	25	+3.4	32.1	+1.25	340	150
Teemo Teemo	515.76	+82	5.74	+0.65	267.2	+40	7.205	+0.45	49.54	+3	0.690	+3.38%	24.3	+3.75	30	+0	330	500
Thresh Thresh	560.52	+93	6.92	+0.55	273.92	+44	6	+0.8	47.696	+2.2	0.625	+3.5%	16	+0	30	+0	335	450
Tristana Tristana	542.76	+82	6.19	+0.65	246.76	+32	7.205	+0.45	56.96	+2.41	0.656	+1.5%	22.0	+3	30	+0	325	550
Trundle Trundle	616.28	+96	6	+0.85	281.6	+45	7.505	+0.6	60.04	+3	0.67	+2.9%	27.536	+2.7	32.1	+1.25	350	175
Tryndamere Tryndamere	625.64	+98	8.51	+0.9	100	+0	0	+0	61.376	+3.2	0.670	+2.9%	24.108	+3.1	32.1	+1.25	345	125
Twisted Fate Twisted Fate	521.76	+82	5.505	+0.6	265.84	+38	6	+0.8	49.954	+3.3	0.651	+3.22%	20.542	+3.15	30	+0	330	525
Twitch Twitch	525.08	+81	6.005	+0.6	287.2	+40	7.255	+0.45	55.46	+2.41	0.679	+3.38%	23.04	+3	30	+0	330	550
Udyr Udyr	593.32	+99	6	+0.75	270.4	+30	7.505	+0.45	58.286	+3.2	0.658	+2.67%	25.47	+4	32.1	+1.25	345	125
Urgot Urgot	586.52	+89	6.505	+0.6	312.4	+55	8.59	+0.65	54.05	+3.6	0.644	+2.9%	24.544	+3.3	30	+0	335	425
Varus Varus	537.76	+82	5.42	+0.55	360.48	+33	7.34	+0.8	54.66	+2.41	0.658	+3%	23.212	+3.4	30	+0	330	575
Vayne Vayne	498.44	+83	5.42	+0.55	231.8	+35	6.97	+0.4	55.88	+1.66	0.658	+4%	19.012	+3.4	30	+0	330	550
Veigar Veigar	492.76	+82	5.42	+0.55	392.4	+52	6	+0.8	50.71	+2.625	0.625	+2.24%	22.55	+3.75	30	+0	340	525
Vel&#039;Koz Vel'Koz	507.68	+76	5.42	+0.55	375.6	+42	6	+0.8	54.937875658	+3.14159265359	0.625	+1.36%	21.88	+3.5	30	+0	340	525
Vi Vi	582.8	+85	9.01	+0.9	295.6	+45	8.09	+0.65	55.88	+3.5	0.625	+2.5%	25.88	+3.5	32.1	+1.25	340	125
Viktor Viktor	516.01	+78	7.84	+0.65	324	+50	6	+0.8	52.04	+3	0.658	+2.11%	22.72	+4	30	+0	335	525
Vladimir Vladimir	525	+84	7.005	+0.6	2	+0	0	+0	55	+3	0.658	+2%	23	+3.3	30	+0	330	450
Volibear Volibear	584.48	+86	8.09	+0.65	270.4	+30	8.09	+0.65	59.544	+3.3	0.658	+2.67%	26.38	+3.5	32.1	+1.25	345	125
Warwick Warwick	550	+85	3.75	+0.75	280	+35	7.466	+0.575	58	+3	0.638	+2.3%	24.04	+3.2	32.1	+1.25	335	125
Wukong Wukong	577.8	+85	6.19	+0.65	265.84	+38	8.04	+0.65	59.876	+3.2	0.658	+3.0%	24.88	+3.5	32.1	+1.25	345	175
Xerath Xerath	514.4	+80	5.42	+0.55	366.96	+44	6	+0.8	54.7	+3	0.625	+1.36%	21.88	+3.5	30	+0	340	525
Xin Zhao Xin Zhao	600	+92	8.175	+0.7	273.8	+35	7.255	+0.45	57.544	+3.3	0.676	+2.6%	25.88	+3.5	32.1	+1.25	345	175
Yasuo Yasuo	517.76	+82	6.51	+0.9	60	+0	0	+0	55.376	+3.2	0.67	+2.5%	24.712	+3.4	30	+0	345	175
Yorick Yorick	580	+100	8	+0.8	300	+40	7.5	+0.75	57	+5	0.625	+3.0%	30	+4	32.1	+1.25	340	175
Zac Zac	614.6	+95	7.92	+0.55	0	+0	0	+0	59.67	+3.375	0.638	+1.6%	23.88	+3.5	32.1	+1.25	340	175
Zed Zed	579.4	+80	7.09	+0.65	200	+0	50	+0	54.712	+3.4	0.644	+2.1%	26.88	+3.5	32.1	+1.25	345	125
Ziggs Ziggs	524.4	+80	6.255	+0.6	384	+47	6	+0.8	54.208	+3.1	0.656	+2%	21.544	+3.3	30	+0	325	550
Zilean Zilean	499.28	+71	5.44	+0.5	360.8	+60	8.5	+0.8	51.64	+3	0.625	+2.13%	19.134	+3.8	30	+0	335	550
Zyra Zyra	499	+74	5.69	+0.5	334	+50	8.5	+0.8	53.376	+3.2	0.625	+2.11%	20.04	+3	30	+0	340	575
